PTK2_Homo sapiens	ACTN1	11369769,16291744
FGFR3_Homo sapiens	STAT3	11940572,11294897,10918587,12244095,11350938,12626508,8626374,12576423,14551213,17389395,16497976,17016520,19901323,11350938,12626508,8626374,12576423,12244095,10918587,11294897,11940572,14551213,17389395,17016520,19901323
FGFR4_Homo sapiens	STAT3	11940572,11294897,10918587,12244095,11350938,12626508,8626374,12576423,14551213,17389395,16497976,17016520,19901323,11350938,12626508,8626374,12576423,12244095,10918587,11294897,11940572,14551213,17389395,17016520,19901323
HCK_Homo sapiens	STAT3	11940572,11294897,10918587,12244095,11350938,12626508,8626374,12576423,14551213,17389395,16497976,17016520,19901323,11350938,12626508,8626374,12576423,12244095,10918587,11294897,11940572,14551213,17389395,17016520,19901323
JAK1_Homo sapiens	STAT3	11940572,11294897,10918587,12244095,11350938,12626508,8626374,12576423,14551213,17389395,16497976,17016520,19901323,11350938,12626508,8626374,12576423,12244095,10918587,11294897,11940572,14551213,17389395,17016520,19901323
JAK2_Homo sapiens	STAT3	11940572,11294897,10918587,12244095,11350938,12626508,8626374,12576423,14551213,17389395,16497976,17016520,19901323,11350938,12626508,8626374,12576423,12244095,10918587,11294897,11940572,14551213,17389395,17016520,19901323,11350938,12626508,8626374,12576423,14551213,11940572,11294897,10918587,12244095,17389395,16497976,17016520,19901323
MAPK1_Homo sapiens	STAT3	11350938,10521505,9343414,10446219,12576423,14551213,9872331,12763138,18669648,19413330,18691976,18491316,20068231,20058876,11350938,10521505,9343414,12576423,14551213,12763138,9872331,18669648,19413330,18691976,18491316,20068231,20058876
PRKCD_Homo sapiens	STAT3	11350938,10521505,9343414,10446219,12576423,14551213,9872331,12763138,18669648,19413330,18691976,18491316,20068231,20058876,11350938,10521505,9343414,12576423,14551213,12763138,9872331,18669648,19413330,18691976,18491316,20068231,20058876
SRC_Homo sapiens	STAT3	11940572,11294897,10918587,12244095,11350938,12626508,8626374,12576423,14551213,17389395,16497976,17016520,19901323,11350938,12626508,8626374,12576423,12244095,10918587,11294897,11940572,14551213,17389395,17016520,19901323
MAPK8_Homo sapiens	STAT3	11350938,10521505,9343414,10446219,12576423,14551213,9872331,12763138,18669648,19413330,18691976,18491316,20068231,20058876,11350938,10521505,9343414,12576423,14551213,12763138,9872331,18669648,19413330,18691976,18491316,20068231,20058876
MAPK3_Homo sapiens	STAT3	11350938,10521505,9343414,10446219,12576423,14551213,9872331,12763138,18669648,19413330,18691976,18491316,20068231,20058876,11350938,10521505,9343414,12576423,14551213,12763138,9872331,18669648,19413330,18691976,18491316,20068231,20058876
RPS6KA5_Homo sapiens	STAT3	11350938,10521505,9343414,10446219,12576423,14551213,9872331,12763138,18669648,19413330,18691976,18491316,20068231,20058876,11350938,10521505,9343414,12576423,14551213,12763138,9872331,18669648,19413330,18691976,18491316,20068231,20058876
