source	target
autocatalysis_Mus musculus	ALK
autocatalysis_Mus musculus	BCKD
autocatalysis_Mus musculus	BLK
autocatalysis_Mus musculus	BMX
autocatalysis_Mus musculus	BTK
autocatalysis_Mus musculus	CSK
autocatalysis_Mus musculus	DAPK1
autocatalysis_Mus musculus	DAPK2
autocatalysis_Mus musculus	DDR1
autocatalysis_Mus musculus	DDR2
autocatalysis_Mus musculus	DYR1A
autocatalysis_Mus musculus	DYR1B
autocatalysis_Mus musculus	E2AK1
autocatalysis_Mus musculus	E2AK4
autocatalysis_Mus musculus	EGFR
autocatalysis_Mus musculus	EPHA1
autocatalysis_Mus musculus	EPHA2
autocatalysis_Mus musculus	EPHA3
autocatalysis_Mus musculus	EPHA4
autocatalysis_Mus musculus	EPHA5
autocatalysis_Mus musculus	EPHA6
autocatalysis_Mus musculus	EPHA7
autocatalysis_Mus musculus	EPHB2
autocatalysis_Mus musculus	EPHB3
autocatalysis_Mus musculus	EPHB4
autocatalysis_Mus musculus	FAK2
autocatalysis_Mus musculus	FES
autocatalysis_Mus musculus	FGFR1
autocatalysis_Mus musculus	FGFR2
autocatalysis_Mus musculus	FGFR3
autocatalysis_Mus musculus	FGFR4
autocatalysis_Mus musculus	FGR
autocatalysis_Mus musculus	FYN
autocatalysis_Mus musculus	GRK5
autocatalysis_Mus musculus	GRK6
autocatalysis_Mus musculus	HCK
autocatalysis_Mus musculus	IGF1R
autocatalysis_Mus musculus	INSRR
autocatalysis_Mus musculus	ITK
autocatalysis_Mus musculus	JAK1
autocatalysis_Mus musculus	JAK2
autocatalysis_Mus musculus	JAK3
autocatalysis_Mus musculus	KCC2A
autocatalysis_Mus musculus	KCC4
autocatalysis_Mus musculus	KIT
autocatalysis_Mus musculus	KPB1
autocatalysis_Mus musculus	KPCA
autocatalysis_Mus musculus	KPCB
autocatalysis_Mus musculus	KPCE
autocatalysis_Mus musculus	KPCG
autocatalysis_Mus musculus	KS6A1
autocatalysis_Mus musculus	KS6A2
autocatalysis_Mus musculus	KS6A3
autocatalysis_Mus musculus	KSYK
autocatalysis_Mus musculus	LCK
autocatalysis_Mus musculus	LTK
autocatalysis_Mus musculus	LYN
autocatalysis_Mus musculus	MERTK
autocatalysis_Mus musculus	MET
autocatalysis_Mus musculus	MUSK
autocatalysis_Mus musculus	NEK1
autocatalysis_Mus musculus	NEK2
autocatalysis_Mus musculus	NEK3
autocatalysis_Mus musculus	NEK4
autocatalysis_Mus musculus	NEK8
autocatalysis_Mus musculus	NEK9
autocatalysis_Mus musculus	NTRK2
autocatalysis_Mus musculus	PDK4
autocatalysis_Mus musculus	PDPK1
autocatalysis_Mus musculus	PGFRB
autocatalysis_Mus musculus	PRKDC
autocatalysis_Mus musculus	PTK6
autocatalysis_Mus musculus	RAF1
autocatalysis_Mus musculus	RET
autocatalysis_Mus musculus	RK
autocatalysis_Mus musculus	RON
autocatalysis_Mus musculus	ROR1
autocatalysis_Mus musculus	ROR2
autocatalysis_Mus musculus	RYK
autocatalysis_Mus musculus	SRC
autocatalysis_Mus musculus	SRMS
autocatalysis_Mus musculus	ST38L
autocatalysis_Mus musculus	STK38
autocatalysis_Mus musculus	TEC
autocatalysis_Mus musculus	TESK1
autocatalysis_Mus musculus	TESK2
autocatalysis_Mus musculus	TIE1
autocatalysis_Mus musculus	TIE2
autocatalysis_Mus musculus	TXK
autocatalysis_Mus musculus	TYK2
autocatalysis_Mus musculus	TYRO3
autocatalysis_Mus musculus	UFO
autocatalysis_Mus musculus	VGFR1
autocatalysis_Mus musculus	VGFR2
autocatalysis_Mus musculus	VGFR3
autocatalysis_Mus musculus	WNK1
autocatalysis_Mus musculus	WNK4
autocatalysis_Mus musculus	YES
autocatalysis_Mus musculus	ZAP70
autocatalysis_Homo sapiens	ALK
autocatalysis_Homo sapiens	BCKD
autocatalysis_Homo sapiens	BLK
autocatalysis_Homo sapiens	BMX
autocatalysis_Homo sapiens	BTK
autocatalysis_Homo sapiens	CSF1R
autocatalysis_Homo sapiens	CSK
autocatalysis_Homo sapiens	DDR1
autocatalysis_Homo sapiens	DDR2
autocatalysis_Homo sapiens	DYR1A
autocatalysis_Homo sapiens	E2AK1
