source	target
autocatalysis_Homo sapiens	BRAF1
autocatalysis_Homo sapiens	DAPK1
autocatalysis_Homo sapiens	DAPK2
autocatalysis_Homo sapiens	DYR1B
autocatalysis_Homo sapiens	E2AK2
autocatalysis_Homo sapiens	EGFR
autocatalysis_Homo sapiens	EPHB1
autocatalysis_Homo sapiens	FAK1
autocatalysis_Homo sapiens	FAK2
autocatalysis_Homo sapiens	FGFR1
autocatalysis_Homo sapiens	INSR
autocatalysis_Homo sapiens	KCC4
autocatalysis_Homo sapiens	KPCB
autocatalysis_Homo sapiens	LCK
autocatalysis_Homo sapiens	MET
autocatalysis_Homo sapiens	NTRK1
autocatalysis_Homo sapiens	PDPK1
autocatalysis_Homo sapiens	PGFRB
autocatalysis_Homo sapiens	PRKDC
autocatalysis_Homo sapiens	RAF1
autocatalysis_Homo sapiens	RET
autocatalysis_Homo sapiens	SRC
autocatalysis_Homo sapiens	ST38L
autocatalysis_Homo sapiens	STK38
autocatalysis_Homo sapiens	STK4
autocatalysis_Homo sapiens	T2FA
autocatalysis_Homo sapiens	TAF1
autocatalysis_Homo sapiens	TIE2
autocatalysis_Homo sapiens	VGFR1
autocatalysis_Homo sapiens	VRK1
autocatalysis_Homo sapiens	WNK4
autocatalysis_Homo sapiens	ZAP70
None_Homo sapiens	ICK
None_Homo sapiens	IF2A
None_Homo sapiens	IKBA
None_Homo sapiens	JIP1
None_Homo sapiens	K2C8
None_Homo sapiens	KCC1A
None_Homo sapiens	KCC1D
None_Homo sapiens	MK03
None_Homo sapiens	MK08
None_Homo sapiens	MK09
None_Homo sapiens	MK10
None_Homo sapiens	MK12
None_Homo sapiens	MK13
None_Homo sapiens	MKNK1
None_Homo sapiens	MKNK2
None_Homo sapiens	MPIP3
None_Homo sapiens	RAF1
None_Homo sapiens	RGS19
None_Homo sapiens	STMN1
None_Homo sapiens	SYUA
None_Homo sapiens	SYUB
None_Homo sapiens	TF65
None_Homo sapiens	VASP
None_Homo sapiens	VIME
None_Mus musculus	BAD
None_Mus musculus	CABL1
None_Mus musculus	HSPB1
None_Mus musculus	IF2A
None_Mus musculus	MK01
None_Mus musculus	MK08
None_Mus musculus	MK09
None_Mus musculus	MKNK1
None_Mus musculus	SHC1
None_Mus musculus	SNP25
None_Mus musculus	STMN1
None_Mus musculus	VIME
PKA_Homo sapiens	CFTR
PKA_Homo sapiens	GP1BB
PKA_Homo sapiens	IPP1
PKA_Homo sapiens	IPPD
PKA_Homo sapiens	KCNQ2
PKA_Homo sapiens	KPYR
PKA_Homo sapiens	STAR
PKA_Homo sapiens	STK24
PKA_Homo sapiens	STMN1
PKA_Homo sapiens	TAU
PKA_Homo sapiens	TNNI3
PKA_Homo sapiens	VTNC
PKC_Homo sapiens	CD44
PKC_Homo sapiens	CFTR
PKC_Homo sapiens	EGFR
PKC_Homo sapiens	FSCN1
PKC_Homo sapiens	MACS
PKC_Homo sapiens	NF2L2
PKC_Homo sapiens	PLEK
PKC_Homo sapiens	PLS1
PKC_Homo sapiens	PTN1
PKC_Homo sapiens	RAF1
PKC_Homo sapiens	VIME
